Energy Deposited [kt / km],Altitude [km]
12.6582,-7.12871
209.233,-6.33663
365.599,-5.29703
1008.94,-5.69307
1643.34,-5.09901
2344.75,-4.70297
3081.91,-5.04950
3644.82,-4.95050
4167.54,-4.30693
4605.36,-3.91089
5257.63,-3.66337
5481.01,-3.41584
5927.77,-3.21782
6307.52,-3.11881
6807.89,-2.37624
7272.52,-1.48515
7830.98,-1.08911
7317.20,-0.841584
7710.35,0.0495050
7174.24,0.643564
7406.55,0.742574
6928.52,1.28713
5811.62,2.22772
5226.36,3.11881
5065.52,3.86139
4828.74,3.96040
4297.10,4.65347
4029.04,5.54455
3626.95,6.28713
3157.86,6.43564
2505.58,8.11881
2005.21,9.30693
1772.90,10.3960
1491.44,12.5248
1134.03,14.6535
731.943,15.2970
535.369,16.9802
249.442,18.1188
253.909,19.5545
146.687,20.9406
240.506,23.8614
119.881,25.1485
79.6724,27.0792
66.2695,28.4158
70.7372,29.8020
66.2695,31.5842
12.6582,35.6436
8.19062,40.4455
